Sigla_especificacao,Nome_especificacao
BDR,BDR
BNS,BÔNUS DE SUBSCRIÇÃO EM ACÕES MISCELÂNEA
BNS B/A,BÔNUS DE SUBSCRIÇÃO EM ACÕES PREFERÊNCIA
BNS C,DESCONHECIDO
BNS ORD,BÔNUS DE SUBSCRIÇÃO EM ACÕES ORDINÁRIAS
BNS P/A,BÔNUS DE SUBSCRIÇÃO EM ACÕES PREFERÊNCIA
BNS P/B,BÔNUS DE SUBSCRIÇÃO EM ACÕES PREFERÊNCIA
BNS P/C,BÔNUS DE SUBSCRIÇÃO EM ACÕES PREFERÊNCIA
BNS P/D,BÔNUS DE SUBSCRIÇÃO EM ACÕES PREFERÊNCIA
BNS P/E,BÔNUS DE SUBSCRIÇÃO EM ACÕES PREFERÊNCIA
BNS P/F,BÔNUS DE SUBSCRIÇÃO EM ACÕES PREFERÊNCIA
BNS P/G,BÔNUS DE SUBSCRIÇÃO EM ACÕES PREFERÊNCIA
BNS P/H,BÔNUS DE SUBSCRIÇÃO EM ACÕES PREFERÊNCIA
BNS PRE,BÔNUS DE SUBSCRIÇÃO EM ACÕES PREFERÊNCIA
CDA,CERTIFICADO DE DEPÓSITO DE ACÕES ORDINÁRIAS
CI,FUNDO DE INVESTIMENTO
CI *,DESCONHECIDO
CI ATZ,Fundo de Investimento Atualização
CI EA,Fundo de Investimento Ex-Atualização
CI EBA,Fundo de Investimento Ex-Bonificação e Ex-Atualização
CI ED,Fundo de Investimento Ex-dividendo
CI ER,Fundo de Investimento Ex-Rendimento
CI ERA,Fundo de Investimento Ex-rendimento e Ex-Atualização
CI ERB,Fundo de Investimento Ex-rendimento e Ex-Bonificação
CI ERS,Fundo de Investimento Ex-Rendimento e Ex-Subscrição
CI ES,Fundo de Investimento Ex-Subscrição
CI*,FUNDO DE INVESTIMENTO
CPA,CERTIF. DE POTENCIAL ADIC. DE CONSTRUÇÃO
CPA FLI,DESCONHECIDO
DIR,DIREITOS DE SUBSCRIÇÃO MISCELÂNEA (BÔNUS)
DIR DEB,Direito de Debênture
DIR ORD,DIREITOS DE SUBSCRIÇÃO EM ACÕES ORDINÁRIAS
DIR P/A,DIREITOS DE SUBSCRIÇÃO EM ACÕES PREFERENCIAIS
DIR P/B,DIREITOS DE SUBSCRIÇÃO EM ACÕES PREFERENCIAIS
DIR P/C,DIREITOS DE SUBSCRIÇÃO EM ACÕES PREFERENCIAIS
DIR P/D,DIREITOS DE SUBSCRIÇÃO EM ACÕES PREFERENCIAIS
DIR P/E,DIREITOS DE SUBSCRIÇÃO EM ACÕES PREFERENCIAIS
DIR P/F,DIREITOS DE SUBSCRIÇÃO EM ACÕES PREFERENCIAIS
DIR P/G,DIREITOS DE SUBSCRIÇÃO EM ACÕES PREFERENCIAIS
DIR P/H,DIREITOS DE SUBSCRIÇÃO EM ACÕES PREFERENCIAIS
